timestamp,x_normalized,y_normalized
1746689325854,0.6635,0.4447
1746689325857,0.6635,0.4447
1746689325873,0.6635,0.4447
1746689325889,0.6635,0.4447
1746689325905,0.6635,0.4447
1746689325922,0.6635,0.4447
1746689325937,0.6635,0.4447
1746689325953,0.6635,0.4447
1746689325969,0.6635,0.4447
1746689325985,0.6635,0.4447
1746689326002,0.6635,0.4447
1746689326018,0.6635,0.4447
1746689326034,0.6635,0.4447
1746689326050,0.6635,0.4447
1746689326065,0.6635,0.4447
1746689326082,0.6635,0.4447
1746689326097,0.6672,0.4426
1746689326114,0.6797,0.4332
1746689326129,0.6917,0.4207
1746689326145,0.7073,0.4019
1746689326161,0.7260,0.3716
1746689326177,0.7406,0.3476
1746689326193,0.7589,0.3194
1746689326209,0.7729,0.2985
1746689326226,0.7937,0.2641
1746689326241,0.8135,0.2328
1746689326257,0.8260,0.2129
1746689326273,0.8318,0.2035
1746689326288,0.8458,0.1816
1746689326305,0.8604,0.1576
1746689326321,0.8604,0.1576
1746689326338,0.8714,0.1378
1746689326353,0.8781,0.1253
1746689326370,0.8839,0.1138
1746689326388,0.8927,0.0939
1746689326401,0.8927,0.0939
1746689326417,0.8964,0.0877
1746689326434,0.8984,0.0835
1746689326450,0.9021,0.0772
1746689326465,0.9047,0.0741
1746689326482,0.9068,0.0699
1746689326497,0.9099,0.0647
1746689326514,0.9115,0.0626
1746689326529,0.9125,0.0595
1746689326545,0.9135,0.0574
1746689326561,0.9161,0.0511
1746689326577,0.9182,0.0449
1746689326593,0.9193,0.0418
1746689326609,0.9214,0.0334
1746689326626,0.9219,0.0313
1746689326642,0.9219,0.0313
1746689326658,0.9219,0.0313
1746689326674,0.9219,0.0313
1746689326690,0.9219,0.0313
1746689326706,0.9219,0.0313
1746689326721,0.9219,0.0313
1746689326738,0.9219,0.0313
1746689326753,0.9219,0.0313
1746689326770,0.9219,0.0313
1746689326786,0.9219,0.0313
1746689326802,0.9219,0.0313
1746689326817,0.9219,0.0313
1746689326834,0.9219,0.0313
1746689326849,0.9219,0.0313
1746689326866,0.9219,0.0313
1746689326881,0.8729,0.0282
1746689326897,0.8604,0.0428
1746689326914,0.8161,0.0950
1746689326928,0.7646,0.1576
1746689326945,0.6792,0.2735
1746689326961,0.6203,0.3737
1746689326977,0.5615,0.4812
1746689326993,0.5062,0.6002
1746689327009,0.4385,0.7745
1746689327025,0.4052,0.8810
1746689327041,0.3703,0.9990
1746689327057,0.3500,0.9990
1746689327073,0.3359,0.9990
1746689327089,0.3286,0.9990
1746689327105,0.3271,0.9990
1746689327121,0.3271,0.9990
1746689327138,0.3271,0.9990
1746689327154,0.3276,0.9990
1746689327170,0.3297,0.9990
1746689327185,0.3307,0.9990
1746689327201,0.3312,0.9990
1746689327217,0.3312,0.9990
1746689327233,0.3312,0.9990
1746689327249,0.3312,0.9990
1746689327265,0.3312,0.9990
1746689327281,0.3312,0.9990
1746689327297,0.3312,0.9990
1746689327313,0.3312,0.9990
1746689327330,0.3312,0.9990
1746689327345,0.3312,0.9990
1746689327362,0.3312,0.9990
1746689327378,0.3312,0.9990
1746689327393,0.3312,0.9990
1746689327409,0.3312,0.9990
1746689327426,0.3312,0.9990
1746689327442,0.3312,0.9990
1746689327458,0.3312,0.9990
1746689327474,0.3312,0.9990
1746689327489,0.3312,0.9990
1746689327505,0.3312,0.9990
1746689327522,0.3312,0.9990
1746689327538,0.3312,0.9990
1746689327553,0.3312,0.9990
1746689327570,0.3312,0.9990
1746689327586,0.3312,0.9990
1746689327602,0.3312,0.9990
1746689327618,0.3312,0.9990
1746689327634,0.3312,0.9990
1746689327650,0.3312,0.9990
1746689327666,0.3312,0.9990
1746689327682,0.3312,0.9990
1746689327698,0.3312,0.9990
1746689327714,0.3312,0.9990
1746689327730,0.3312,0.9990
1746689327746,0.3312,0.9990
1746689327762,0.3312,0.9990
1746689327778,0.3312,0.9990
1746689327794,0.3312,0.9990
1746689327810,0.3312,0.9990
1746689327826,0.3312,0.9990
1746689327842,0.3312,0.9990
1746689327857,0.3312,0.9990
1746689327873,0.3312,0.9990
1746689327889,0.3312,0.9990
1746689327906,0.3312,0.9990
1746689327922,0.3312,0.9990
1746689327938,0.3312,0.9990
1746689327954,0.3312,0.9990
1746689327970,0.3312,0.9990
1746689327986,0.3312,0.9990
1746689328002,0.3312,0.9990
1746689328018,0.3312,0.9990
1746689328034,0.3312,0.9990
1746689328050,0.3312,0.9990
1746689328066,0.3312,0.9990
1746689328081,0.3312,0.9990
1746689328098,0.3312,0.9990
1746689328114,0.3312,0.9990
1746689328129,0.3312,0.9990
