timestamp,x,y
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6635,0.4447
1.74669E+12,0.6672,0.4426
1.74669E+12,0.6797,0.4332
1.74669E+12,0.6917,0.4207
1.74669E+12,0.7073,0.4019
1.74669E+12,0.726,0.3716
1.74669E+12,0.7406,0.3476
1.74669E+12,0.7589,0.3194
1.74669E+12,0.7729,0.2985
1.74669E+12,0.7937,0.2641
1.74669E+12,0.8135,0.2328
1.74669E+12,0.826,0.2129
1.74669E+12,0.8318,0.2035
1.74669E+12,0.8458,0.1816
1.74669E+12,0.8604,0.1576
1.74669E+12,0.8604,0.1576
1.74669E+12,0.8714,0.1378
1.74669E+12,0.8781,0.1253
1.74669E+12,0.8839,0.1138
1.74669E+12,0.8927,0.0939
1.74669E+12,0.8927,0.0939
1.74669E+12,0.8964,0.0877
1.74669E+12,0.8984,0.0835
1.74669E+12,0.9021,0.0772
1.74669E+12,0.9047,0.0741
1.74669E+12,0.9068,0.0699
1.74669E+12,0.9099,0.0647
1.74669E+12,0.9115,0.0626
1.74669E+12,0.9125,0.0595
1.74669E+12,0.9135,0.0574
1.74669E+12,0.9161,0.0511
1.74669E+12,0.9182,0.0449
1.74669E+12,0.9193,0.0418
1.74669E+12,0.9214,0.0334
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.9219,0.0313
1.74669E+12,0.8729,0.0282
1.74669E+12,0.8604,0.0428
1.74669E+12,0.8161,0.095
1.74669E+12,0.7646,0.1576
1.74669E+12,0.6792,0.2735
1.74669E+12,0.6203,0.3737
1.74669E+12,0.5615,0.4812
1.74669E+12,0.5062,0.6002
1.74669E+12,0.4385,0.7745
1.74669E+12,0.4052,0.881
1.74669E+12,0.3703,0.999
1.74669E+12,0.35,0.999
1.74669E+12,0.3359,0.999
1.74669E+12,0.3286,0.999
1.74669E+12,0.3271,0.999
1.74669E+12,0.3271,0.999
1.74669E+12,0.3271,0.999
1.74669E+12,0.3276,0.999
1.74669E+12,0.3297,0.999
1.74669E+12,0.3307,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
1.74669E+12,0.3312,0.999
