timestamp,x,y
1746688970056,0,0
1746688970063,0,0
1746688970079,0,0
1746688970095,0,0
1746688970111,0,0
1746688970126,0,0
1746688970143,0,0
1746688970159,0,0
1746688970175,0,0
1746688970191,0,0
1746688970207,0,0
1746688970224,0,0
1746688970240,0,0
1746688970256,0,0
1746688970271,0,0
1746688970287,0,0
1746688970304,0,0
1746688970320,0,0
1746688970335,0,0
1746688970351,0,0
1746688970367,0,0
1746688970384,0,0
1746688970398,0,0
1746688970415,0,0
1746688970431,0,0
1746688970447,0,0
1746688970463,0,0
1746688970479,0,0
1746688970495,0,0
1746688970511,0,0
1746688970527,0,0
1746688970542,0,0
1746688970559,0,0
1746688970575,0,0
1746688970591,0,0
1746688970607,0,0
1746688970623,0,0
1746688970639,0,0
1746688970655,0,0
1746688970671,0,0
1746688970687,0,0
1746688970703,0,0
1746688970719,0,0
1746688970735,0,0
1746688970751,0,0
1746688970767,0,0
1746688970783,0,0
1746688970799,0,0
1746688970816,0,0
1746688970831,0,0
1746688970847,0,0
1746688970862,0,0
1746688970879,0,0
1746688970896,0,0
1746688970912,0,0
1746688970928,0,0
1746688970943,0,0
1746688970960,0,0
1746688970976,0,0
1746688970991,0,0
1746688971007,0,0
1746688971023,0,0
1746688971039,0,0
1746688971055,0,0
1746688971071,0,0
1746688971087,0,0
1746688971103,0,0
1746688971119,0,0
1746688971135,0,0
1746688971151,0,0
1746688971167,0,0
1746688971183,0,0
1746688971199,0,0
1746688971215,0,0
1746688971231,0,0
1746688971247,0,0
1746688971263,0,0
1746688971279,0,0
1746688971295,0,0
1746688971311,0,0
1746688971327,0,0
1746688971344,0,0
1746688971360,0,0
1746688971376,0,0
1746688971391,0,0
1746688971407,0,0
1746688971423,0,0
1746688971439,0,0
1746688971454,0,0
1746688971471,0,0
1746688971488,0,0
1746688971504,0,0
1746688971520,0,0
1746688971535,0,0
1746688971551,0,0
1746688971567,0,0
1746688971583,0,0
1746688971599,0,0
1746688971616,0,0
1746688971632,0,0
1746688971648,0,0
1746688971663,0,0
1746688971679,0,0
1746688971695,0,0
1746688971711,0,0
1746688971726,0,0
1746688971743,0,0
1746688971759,0,0
1746688971775,0,0
1746688971792,0,0
1746688971808,0,0
1746688971824,0,0
1746688971840,0,0
1746688971855,0,0
1746688971871,622,394
1746688971886,622,396
1746688971902,625,398
1746688971919,626,400
1746688971935,630,404
1746688971950,636,407
1746688971967,641,411
1746688971983,646,414
1746688971998,646,414
1746688972015,657,420
1746688972031,667,425
1746688972047,675,428
1746688972064,682,431
1746688972079,691,434
1746688972094,706,439
1746688972111,717,443
1746688972127,724,446
1746688972144,736,450
1746688972158,751,456
1746688972174,762,460
1746688972191,773,465
1746688972207,785,471
1746688972223,809,485
1746688972239,827,495
1746688972255,848,506
1746688972271,881,524
1746688972287,918,544
1746688972302,971,568
1746688972319,1009,582
1746688972335,1043,593
1746688972350,1073,601
1746688972367,1096,606
1746688972383,1126,610
1746688972399,1126,610
1746688972415,1143,610
1746688972431,1159,608
1746688972447,1174,600
1746688972463,1190,586
1746688972479,1198,575
1746688972495,1205,562
1746688972511,1210,549
1746688972526,1217,523
1746688972542,1218,507
1746688972559,1218,493
1746688972574,1216,482
1746688972591,1212,468
1746688972607,1204,453
1746688972623,1196,442
1746688972639,1189,434
1746688972654,1180,426
1746688972671,1161,415
1746688972687,1149,410
1746688972702,1135,405
1746688972719,1127,403
1746688972734,1113,400
1746688972750,1095,398
1746688972766,1095,398
1746688972783,1067,400
1746688972799,1067,400
1746688972815,1059,401
1746688972831,1045,405
1746688972847,1027,411
1746688972863,1020,414
1746688972879,1014,417
1746688972895,1003,423
1746688972911,993,429
1746688972926,982,437
1746688972943,976,442
1746688972959,971,448
1746688972975,965,454
1746688972991,956,465
1746688973007,951,472
1746688973023,948,478
1746688973039,947,481
1746688973055,945,486
1746688973070,944,490
1746688973086,944,491
1746688973102,944,492
1746688973119,944,494
1746688973135,944,494
1746688973152,944,494
1746688973168,944,494
1746688973183,944,494
1746688973200,944,494
1746688973215,944,494
1746688973231,944,494
1746688973247,944,494
1746688973263,944,494
1746688973278,944,494
1746688973295,944,494
1746688973311,944,494
1746688973327,944,494
1746688973343,944,494
1746688973360,944,494
1746688973376,944,494
1746688973391,944,494
1746688973407,944,494
1746688973423,944,494
1746688973439,944,494
1746688973455,944,494
1746688973471,944,494
1746688973487,944,494
1746688973502,944,494
1746688973519,944,494
1746688973535,944,494
1746688973551,944,494
1746688973567,944,494
1746688973583,944,494
1746688973599,944,494
1746688973616,944,494
1746688973632,944,494
1746688973647,944,494
1746688973663,944,494
1746688973679,944,494
1746688973695,944,494
1746688973711,944,494
1746688973728,944,494
1746688973743,944,494
1746688973759,944,494
1746688973775,944,494
1746688973791,944,494
1746688973807,944,494
1746688973823,944,494
1746688973840,944,494
1746688973856,944,494
1746688973872,944,494
1746688973888,944,494
1746688973903,944,494
1746688973919,944,494
1746688973935,944,494
1746688973950,944,494
1746688973967,944,494
1746688973983,944,494
1746688973999,944,494
1746688974015,944,494
1746688974031,944,494
1746688974047,944,494
1746688974063,944,494
1746688974079,944,494
1746688974095,944,494
1746688974111,944,494
1746688974127,944,494
1746688974143,944,494
1746688974159,944,494
1746688974175,944,494
1746688974191,944,494
1746688974207,944,494
1746688974224,944,494
1746688974240,944,494
1746688974255,944,494
1746688974271,944,494
1746688974288,944,494
1746688974303,944,494
1746688974320,944,494
1746688974335,944,494
1746688974351,944,494
1746688974367,944,494
1746688974383,944,494
1746688974399,944,494
1746688974415,944,494
1746688974431,944,494
1746688974447,944,494
1746688974463,944,494
1746688974479,944,494
1746688974495,944,494
1746688974511,944,494
1746688974527,944,494
1746688974543,944,494
1746688974559,944,494
1746688974575,944,494
1746688974590,944,494
1746688974608,944,494
1746688974624,944,494
1746688974640,944,494
1746688974656,944,494
1746688974671,944,494
1746688974687,944,494
1746688974703,944,494
1746688974719,944,494
1746688974734,944,494
1746688974751,944,494
1746688974767,944,494
1746688974783,944,494
1746688974799,944,494
1746688974814,944,494
1746688974831,944,494
1746688974847,943,494
1746688974863,943,495
1746688974879,943,495
1746688974895,942,495
1746688974911,942,496
1746688974927,942,496
1746688974943,941,497
1746688974959,941,497
1746688974975,941,498
1746688974990,940,499
1746688975007,940,499
1746688975022,939,500
1746688975038,939,502
1746688975054,938,503
1746688975070,937,505
1746688975087,936,508
1746688975103,935,512
1746688975118,934,515
1746688975134,933,519
1746688975151,931,527
1746688975166,930,532
1746688975183,930,532
1746688975199,930,536
1746688975215,929,550
1746688975231,929,554
1746688975247,930,563
1746688975263,931,572
1746688975279,932,577
1746688975295,934,586
1746688975311,936,596
1746688975327,937,600
1746688975343,939,608
1746688975360,940,612
1746688975374,941,619
1746688975390,943,626
1746688975406,944,629
1746688975422,944,632
1746688975438,945,636
1746688975455,946,641
1746688975470,947,643
1746688975487,947,644
1746688975503,947,645
1746688975518,947,646
1746688975535,947,647
1746688975550,947,648
1746688975567,947,649
1746688975583,947,649
1746688975599,947,649
1746688975614,947,650
1746688975632,947,650
1746688975646,947,650
1746688975663,947,650
1746688975679,947,651
1746688975695,947,651
1746688975711,947,651
1746688975728,947,651
1746688975744,947,651
1746688975758,947,651
1746688975775,947,651
1746688975791,947,651
1746688975807,947,651
1746688975822,947,651
1746688975839,947,651
1746688975855,947,651
1746688975871,947,651
1746688975888,947,651
1746688975902,947,651
1746688975919,947,651
1746688975934,947,651
1746688975950,948,652
1746688975967,948,652
1746688975983,948,652
1746688976000,950,655
1746688976015,952,658
1746688976032,956,661
1746688976048,962,666
1746688976063,967,671
1746688976079,970,673
1746688976095,972,675
