timestamp,x,y
1746689056549,540,957
1746689056551,540,957
1746689056568,540,957
1746689056584,540,957
1746689056600,540,957
1746689056616,540,957
1746689056632,540,957
1746689056648,540,957
1746689056664,540,957
1746689056680,540,957
1746689056696,540,957
1746689056712,540,957
1746689056728,540,957
1746689056744,540,957
1746689056760,540,957
1746689056776,663,800
1746689056791,656,779
1746689056807,650,764
1746689056823,641,732
1746689056839,637,717
1746689056855,634,697
1746689056871,632,683
1746689056887,630,669
1746689056903,627,647
1746689056920,626,636
1746689056936,625,625
1746689056952,625,625
1746689056968,625,617
1746689056983,625,607
1746689056999,626,601
1746689057016,626,599
1746689057032,628,594
1746689057047,629,590
1746689057063,629,588
1746689057079,631,585
1746689057096,631,584
1746689057111,632,582
1746689057127,633,580
1746689057143,633,579
1746689057159,634,578
1746689057175,634,577
1746689057192,635,577
1746689057207,639,572
1746689057223,642,570
1746689057240,650,566
1746689057255,659,563
1746689057271,672,559
1746689057287,689,556
1746689057303,715,554
1746689057319,733,554
1746689057335,733,554
1746689057351,758,556
1746689057368,774,558
1746689057384,799,562
1746689057400,815,565
1746689057415,829,569
1746689057432,843,574
1746689057447,867,581
1746689057463,880,586
1746689057479,887,589
1746689057496,898,593
1746689057512,905,597
1746689057527,914,602
1746689057543,919,605
1746689057559,923,608
1746689057576,931,613
1746689057592,935,615
1746689057607,939,617
1746689057623,943,619
1746689057640,946,620
1746689057655,948,621
1746689057671,950,622
1746689057687,951,622
1746689057703,952,622
1746689057720,952,622
1746689057736,952,622
1746689057752,954,623
1746689057768,955,623
1746689057784,956,623
1746689057800,956,623
1746689057816,956,623
1746689057832,956,623
1746689057847,956,623
1746689057864,956,623
1746689057880,956,623
1746689057896,956,623
1746689057912,956,623
1746689057928,956,623
1746689057944,956,623
1746689057960,956,623
1746689057976,956,623
1746689057992,956,623
1746689058008,956,623
1746689058024,956,623
1746689058040,956,624
1746689058056,956,624
1746689058072,956,624
1746689058087,956,624
1746689058104,956,624
1746689058120,956,624
1746689058136,956,624
1746689058152,956,624
1746689058168,956,624
1746689058184,956,624
1746689058200,956,624
1746689058216,956,624
1746689058232,956,624
1746689058248,956,624
1746689058263,956,624
1746689058280,956,624
1746689058296,956,624
1746689058311,956,624
1746689058327,956,624
1746689058343,956,624
1746689058360,956,624
1746689058375,956,624
